,Structure type,cif,site,tcsp_present,tctp_on_caps,tctp_sites,sp_square_formula,sp_cap_formula,num_tctp_caps,tctp_center_0,tctp_tp_formula_0,tctp_cap_formula_0,tctp_center_1,tctp_tp_formula_1,tctp_cap_formula_1,tctp_center_2,tctp_tp_formula_2,tctp_cap_formula_2
479,"Mg4CuTb,oS48,65",1622981.cif,Mg6,yes,yes,"[['Cu3', 4]]",Tb8,Cu4,4,Cu3,Tb4Mg2,Mg3,,,,,,
66,"Tb4RhInGe4,mS40,12",1642163.cif,In2,yes,yes,"[['Ge1', 2], ['Ge2', 2]]",Tb8,Ge4,4,Ge1,Tb6,In2Ge,Ge2,Tb6,GeInRh,,,
13,"Mo2FeB2,tP10,127",1310251.cif,Fe1,yes,yes,"[['B1', 4]]",Mo8,B4,4,B1,Mo6,Fe2B,,,,,,
297,"La11Ru2Al6,oP38,55",1631451.cif,La6,yes,yes,"[['Al2', 2], ['Al3', 2]]",La8,Al4,4,Al2,La6,La3,Al3,La6,La2Ru,,,
71,"Mg5Si6-a,mS22,12",1123566.cif,Mg1,yes,yes,"[['Si1', 2], ['Si2', 2]]",Mg8,Si4,4,Si1,Mg6,Si2Mg,Si2,Mg4Si2,Mg2Si,,,
224,"Yb7Co4InGe12,tP24,83",1323301.cif,In,yes,yes,"[['Ge1', 4]]",Yb8,Ge4,4,Ge1,Yb6,CoGeIn,,,,,,
160,"Mg5Dy5Fe4Al12Si6,tP32,123",1634042.cif,Mg2,yes,yes,"[['Al2', 4]]",Dy8,Al4,4,Al2,Dy4Mg2,Al2Mg,,,,,,
9,"U3Si2,tP10,127",454432.cif,U2,yes,yes,"[['Si1', 4]]",U8,Si4,4,Si1,U6,U2Si,,,,,,
928,"Yb5Fe4Al17Si6,tP32,123",1636744.cif,Al2,yes,yes,"[['Al4', 4]]",Yb8,Al4,4,Al4,Yb4Al2,Al3,,,,,,
652,"Er17Ru6Te3,mS104,12",1220943.cif,Er10,yes,yes,"[['Te2', 2], ['Ru5', 2]]",Er8,Ru2Te2,4,Te2,Er6,Er3,Ru5,Er6,Er2Ru,,,
782,"Yb4Mn2Sn5,mS22,12",1219678.cif,Sn2,yes,yes,"[['Sn1', 2], ['Sn3', 2]]",Yb8,Sn4,4,Sn1,Yb6,Sn2Mn,Sn3,Yb4Mn2,MnSnYb,,,
120,"Cu4Nb5Si4,tI26,87",303263.cif,NbII,yes,yes,"[['Si', 4]]",Nb8,Si4,4,Si,Nb4Cu2,Nb2Cu,,,,,,
289,"Zr9Ni2P4,tP30,127",1003548.cif,Zr1,yes,yes,"[['P', 4]]",Zr8,P4,4,P,Zr6,Zr2Ni,,,,,,
405,"Ca7Ni4Sn13,tP24,83",539355.cif,Sn4,yes,yes,"[['Sn3', 4]]",Ca8,Sn4,4,Sn3,Ca6,Sn2Ni,,,,,,
433,"Sr2Pb3,tP10,127",450139.cif,Pb2,yes,yes,"[['Pb1', 4]]",Sr8,Pb4,4,Pb1,Sr6,Pb3,,,,,,
387,"Tb3Pd2,oP20,55",1147834.cif,Tb2,yes,yes,"[['Pd2', 2], ['Pd1', 2]]",Tb8,Pd4,4,Pd2,Tb6,Tb2Pd,Pd1,Tb6,Tb2Pd,,,
288,"Zr9Ni2P4,tP30,127",1003548.cif,Zr3,yes,yes,"[['Ni', 1], ['P', 2]]",Zr8,P2NiZr,3,Ni,Zr6,P2Zr,P,Zr6,Zr2Ni,,,
116,"NdRuSi2,mP8,11",1406354.cif,Ru,yes,yes,"[['Si2', 2], ['Si1', 1]]",Nd4Ru2Si2,Si3Nd,3,Si2,Nd2Ru2Si2,Ru2Nd,Si1,Nd4Si2,Nd2Ru,,,
93,"ThRu2P2,oP20,62",544942.cif,Ru1,yes,yes,"[['P2', 1], ['P1', 2]]",Th4P2Ru2,P3Th,3,P2,P2Ru2Th2,Ru2Th,P1,Th4Ru2,Ru3,,,
693,"ScRhSi2,oP16,62",302222.cif,Rh1,yes,yes,"[['Si2', 2], ['Si1', 1]]",Sc4Rh2Si2,Si3Sc,3,Si2,Sc4Si2,Rh2Si,Si1,Rh2Sc2Si2,RhScSi,,,
809,"Zr3Pd4P3,oP40,62",1904569.cif,Pd1,yes,yes,"[['P2', 1], ['P3', 1], ['P1', 1]]",Pd4Zr4,P3Zr,3,P2,Zr4Pd2,Pd2Zr,P3,Zr4Pd2,Pd3,P1,Zr4Pd2,Pd2Zr
104,"Zn6Ce2Ge3,hP11,189",1253134.cif,Zn2,yes,yes,"[['Ge', 3]]",Ce4Zn4,Ge3Zn,3,Ge,Ce4Zn2,Zn3,,,,,,
274,"La2NiSb,oP16,62",1642907.cif,La2,yes,yes,"[['Ni', 1], ['Sb', 2]]",La4Ni2Sb2,Sb2LaNi,3,Ni,La4Ni2,La2Sb,Sb,La6,La2Ni,,,
280,"(La0.6Y0.4)MnSi,oP6,59",1611893.cif,Mn,yes,yes,"[['Si', 2]]",Mn4Si2LaY,Si2LaY,2,Si,La3Mn2Y,Mn2La,,,,,,
287,"(Mg0.12Al0.88)3La,oS16,20",1044969.cif,Al3,yes,yes,"[['Al2', 2]]",Al6La2,Al2La2,2,Al2,La4Al2,Al3,,,,,,
573,"Tb15Ni28P21,hP128,176",1803040.cif,Ni4,yes,yes,"[['P5', 1], ['P7', 1]]",Ni4P2Tb2,P2Tb2,2,P5,Tb4Ni2,Ni3,P7,Ni4Tb2,Ni3,,,
62,"Tb4RhInGe4,mS40,12",1642163.cif,Rh,yes,yes,"[['Ge4', 1], ['Ge2', 1]]",Tb4Ge2Rh2,Ge2Tb2,2,Ge4,Tb4Rh2,GeRhTb,Ge2,Tb6,GeInRh,,,
575,"Tb15Ni28P21,hP128,176",1803040.cif,Ni6,yes,yes,"[['P3', 1], ['P5', 1]]",Ni4P2Tb2,P2Tb2,2,P3,Tb4Ni2,Ni3,P5,Tb4Ni2,Ni3,,,
