CIF,Formula,Structure Type,tcsp_center_label,tcsp_center,tcsp_prism_formula,tcsp_caps_formula,tctp_1_center,tctp_1_count,tctp_1_prism_formula,tctp_1_cap_formula,tctp_2_center,tctp_2_count,tctp_2_prism_formula,tctp_2_cap_formula,tctp_3_center,tctp_3_count,tctp_3_prism_formula,tctp_3_cap_formula
1629135.cif,CuMg4Y,"Mg4CuTb,oS48,65",Mg1,Mg,Mg6Y2,Mg3Cu,Cu,1,Y4Mg2,Mg3,,,,,,,,
1629135.cif,CuMg4Y,"Mg4CuTb,oS48,65",Mg5,Mg,Mg6Y2,Mg3Cu,Cu,1,Y4Mg2,Mg3,,,,,,,,
1629135.cif,CuMg4Y,"Mg4CuTb,oS48,65",Mg3,Mg,Y8,Cu4,Cu,4,Y4Mg2,Mg3,,,,,,,,
1622981.cif,CuMg4Tb,"Mg4CuTb,oS48,65",Mg4,Mg,Mg6Tb2,Mg3Cu,Cu,1,Tb4Mg2,Mg3,,,,,,,,
1622981.cif,CuMg4Tb,"Mg4CuTb,oS48,65",Mg8,Mg,Mg6Tb2,Mg3Cu,Cu,1,Tb4Mg2,Mg3,,,,,,,,
1622981.cif,CuMg4Tb,"Mg4CuTb,oS48,65",Mg6,Mg,Tb8,Cu4,Cu,4,Tb4Mg2,Mg3,,,,,,,,
1629335.cif,CuMg4Y,"Mg4CuTb,oS48,65",Mg1,Mg,Mg6Y2,Mg3Cu,Cu,1,Y4Mg2,Mg3,,,,,,,,
1629335.cif,CuMg4Y,"Mg4CuTb,oS48,65",Mg2,Mg,Mg6Y2,Mg3Cu,Cu,1,Y4Mg2,Mg3,,,,,,,,
1629335.cif,CuMg4Y,"Mg4CuTb,oS48,65",Mg5,Mg,Y8,Cu4,Cu,4,Y4Mg2,Mg3,,,,,,,,
1642163.cif,Ge4InRhTb4,"Tb4RhInGe4,mS40,12",Rh,Rh,Tb4Ge2Rh2,Ge2Tb2,Ge,1,Tb4Rh2,GeRhTb,Ge,1,Tb6,GeInRh,,,,
1642163.cif,Ge4InRhTb4,"Tb4RhInGe4,mS40,12",Tb1,Tb,Ge4Rh2Tb2,Ge2Tb2,Ge,1,Tb6,GeInTb,Ge,1,Tb4Rh2,GeRhTb,,,,
1642163.cif,Ge4InRhTb4,"Tb4RhInGe4,mS40,12",In1,In,Tb8,Ge4,Ge,2,Tb6,GeInTb,Ge,2,Tb6,In2Ge,,,,
1642163.cif,Ge4InRhTb4,"Tb4RhInGe4,mS40,12",In2,In,Tb8,Ge4,Ge,2,Tb6,GeInRh,Ge,2,Tb6,In2Ge,,,,
1642166.cif,Er4Ge4InRh,"Tb4RhInGe4,mS40,12",Rh1,Rh,Er4Ge2Rh2,Er2Ge2,Ge,1,Er4Rh2,ErGeRh,Ge,1,Er6,GeInRh,,,,
1642166.cif,Er4Ge4InRh,"Tb4RhInGe4,mS40,12",Er1,Er,Ge4Er2Rh2,Er2Ge2,Ge,1,Er6,ErGeIn,Ge,1,Er4Rh2,ErGeRh,,,,
1642166.cif,Er4Ge4InRh,"Tb4RhInGe4,mS40,12",Ge4,Ge,Er4Ge2Rh2,Er2GeRh,Ge,1,Er6,In2Ge,,,,,,,,
1642166.cif,Er4Ge4InRh,"Tb4RhInGe4,mS40,12",In1,In,Er8,Ge4,Ge,2,Er6,ErGeIn,Ge,2,Er6,In2Ge,,,,
1642166.cif,Er4Ge4InRh,"Tb4RhInGe4,mS40,12",In2,In,Er8,Ge4,Ge,2,Er6,GeInRh,Ge,2,Er6,In2Ge,,,,
1642165.cif,Ge4Ho4InRh,"Tb4RhInGe4,mS40,12",Rh1,Rh,Ho4Ge2Rh2,Ge2Ho2,Ge,1,Ho4Rh2,GeHoRh,Ge,1,Ho6,GeInRh,,,,
1642165.cif,Ge4Ho4InRh,"Tb4RhInGe4,mS40,12",Ho1,Ho,Ge4Ho2Rh2,Ge2Ho2,Ge,1,Ho6,GeHoIn,Ge,1,Ho4Rh2,GeHoRh,,,,
1642165.cif,Ge4Ho4InRh,"Tb4RhInGe4,mS40,12",Ge4,Ge,Ho4Ge2Rh2,Ho2GeRh,Ge,1,Ho6,In2Ge,,,,,,,,
1642165.cif,Ge4Ho4InRh,"Tb4RhInGe4,mS40,12",In1,In,Ho8,Ge4,Ge,2,Ho6,GeHoIn,Ge,2,Ho6,In2Ge,,,,
1642165.cif,Ge4Ho4InRh,"Tb4RhInGe4,mS40,12",In2,In,Ho8,Ge4,Ge,2,Ho6,GeInRh,Ge,2,Ho6,In2Ge,,,,
1642164.cif,Dy4Ge4InRh,"Tb4RhInGe4,mS40,12",Rh1,Rh,Dy4Ge2Rh2,Dy2Ge2,Ge,1,Dy4Rh2,DyGeRh,Ge,1,Dy6,GeInRh,,,,
1642164.cif,Dy4Ge4InRh,"Tb4RhInGe4,mS40,12",Dy1,Dy,Ge4Dy2Rh2,Dy2Ge2,Ge,1,Dy6,DyGeIn,Ge,1,Dy4Rh2,DyGeRh,,,,
1642164.cif,Dy4Ge4InRh,"Tb4RhInGe4,mS40,12",Ge4,Ge,Dy4Ge2Rh2,Dy2GeRh,Ge,1,Dy6,In2Ge,,,,,,,,
1642164.cif,Dy4Ge4InRh,"Tb4RhInGe4,mS40,12",In1,In,Dy8,Ge4,Ge,2,Dy6,DyGeIn,Ge,2,Dy6,In2Ge,,,,
1642164.cif,Dy4Ge4InRh,"Tb4RhInGe4,mS40,12",In2,In,Dy8,Ge4,Ge,2,Dy6,GeInRh,Ge,2,Dy6,In2Ge,,,,
1606187.cif,Ir2SnU2,"Mo2FeB2,tP10,127",Sn,Sn,U8,Ir4,Ir,4,U6,Sn2Ir,,,,,,,,
1606183.cif,Co2SnU2,"Mo2FeB2,tP10,127",Sn,Sn,U8,Co4,Co,4,U6,Sn2Co,,,,,,,,
